t_ms,frames,rms_in,gain
2334.556,512,0.000286,1.0000
2345.232,512,0.000333,1.0000
2355.887,512,0.000321,1.0000
2366.566,512,0.000364,1.0000
2377.210,512,0.000460,1.0000
2387.882,512,0.000294,1.0000
2398.539,512,0.000352,1.0000
2409.203,512,0.000353,1.0000
2419.872,512,0.000440,1.0000
2430.543,512,0.000348,1.0000
2441.219,512,0.000340,1.0000
2451.881,512,0.000354,1.0000
2462.558,512,0.000265,1.0000
2473.216,512,0.000204,1.0000
2483.889,512,0.000223,1.0000
2494.531,512,0.000319,0.8578
2505.216,512,0.000273,0.7156
2515.879,512,0.000310,0.5734
2526.536,512,0.000294,0.4311
2537.203,512,0.000255,0.2889
2547.871,512,0.000227,0.2000
2558.545,512,0.000241,0.2000
2569.217,512,0.000238,0.2000
2579.883,512,0.000249,0.2000
2590.566,512,0.000258,0.2000
2601.216,512,0.000214,0.2000
2611.900,512,0.000207,0.2000
2622.547,512,0.000228,0.2000
2633.242,512,0.000188,0.2000
2643.905,512,0.000191,0.2000
2654.563,512,0.000157,0.2000
2665.238,512,0.000180,0.2000
2675.912,512,0.000189,0.2000
2686.559,512,0.000199,0.2000
2697.234,512,0.000175,0.2000
2707.897,512,0.000176,0.2000
2718.581,512,0.000190,0.2000
2729.250,512,0.000182,0.2000
2739.910,512,0.000170,0.2000
2750.602,512,0.000189,0.2000
2761.253,512,0.000253,0.2000
2771.922,512,0.000321,0.2000
2782.637,512,0.000297,0.2000
2793.241,512,0.000284,0.2000
2803.911,512,0.000276,0.2000
2814.586,512,0.000276,0.2000
2825.243,512,0.000265,0.2000
2835.940,512,0.000231,0.2000
2846.566,512,0.000224,0.2000
2857.245,512,0.000189,0.2000
2867.922,512,0.000185,0.2000
2878.569,512,0.000171,0.2000
2889.296,512,0.000173,0.2000
2899.992,512,0.000171,0.2000
2910.590,512,0.000174,0.2000
2921.269,512,0.000166,0.2000
2931.927,512,0.000169,0.2000
2942.576,512,0.000182,0.2000
2953.311,512,0.000183,0.2000
2963.969,512,0.000170,0.2000
2974.587,512,0.000177,0.2000
2985.297,512,0.000175,0.2000
2995.895,512,0.000168,0.2000
3006.560,512,0.000159,0.2000
3017.240,512,0.000158,0.2000
3027.904,512,0.000160,0.2000
3038.550,512,0.000166,0.2000
3049.215,512,0.000148,0.2000
3059.900,512,0.000150,0.2000
3070.542,512,0.000136,0.2000
3081.216,512,0.000165,0.2000
3091.897,512,0.000149,0.2000
3102.544,512,0.000155,0.2000
3113.212,512,0.000132,0.2000
3123.876,512,0.000134,0.2000
3134.540,512,0.000130,0.2000
3145.190,512,0.000133,0.2000
3155.872,512,0.000165,0.2000
3166.551,512,0.000154,0.2000
3177.180,512,0.000238,0.2000
3187.858,512,0.000224,0.2000
3198.602,512,0.000181,0.2000
3209.195,512,0.000120,0.2000
3219.862,512,0.000159,0.2000
3230.541,512,0.000141,0.2000
3241.256,512,0.000141,0.2000
3251.884,512,0.000127,0.2000
3262.608,512,0.000152,0.2000
3273.247,512,0.000141,0.2000
3283.970,512,0.000146,0.2000
3294.643,512,0.000128,0.2000
3305.284,512,0.000142,0.2000
3315.874,512,0.000134,0.2000
3326.521,512,0.000140,0.2000
3337.253,512,0.000134,0.2000
3347.929,512,0.000153,0.2000
3358.505,512,0.000239,0.2000
3369.202,512,0.000239,0.2000
3379.867,512,0.000240,0.2000
3390.523,512,0.000239,0.2000
3401.209,512,0.000128,0.2000
3411.891,512,0.000130,0.2000
3422.582,512,0.000126,0.2000
3433.228,512,0.000121,0.2000
3443.917,512,0.000121,0.2000
3454.594,512,0.000123,0.2000
3465.288,512,0.000111,0.2000
3475.953,512,0.000126,0.2000
3486.643,512,0.000105,0.2000
3497.334,512,0.000122,0.2000
3507.878,512,0.000101,0.2000
3518.529,512,0.000119,0.2000
3529.258,512,0.000105,0.2000
3539.862,512,0.000100,0.2000
3550.637,512,0.000107,0.2000
3561.296,512,0.000218,0.2000
3571.954,512,0.000193,0.2000
3582.532,512,0.000256,0.2000
3593.191,512,0.000177,0.2000
3603.867,512,0.000132,0.2000
3614.530,512,0.000216,0.2000
3625.260,512,0.000168,0.2000
3635.917,512,0.000157,0.2000
3646.610,512,0.000171,0.2000
3657.217,512,0.000128,0.2000
3667.891,512,0.000153,0.2000
3678.555,512,0.000142,0.2000
3689.206,512,0.000138,0.2000
3699.924,512,0.000137,0.2000
3710.565,512,0.000124,0.2000
3721.222,512,0.000137,0.2000
3731.880,512,0.000137,0.2000
3742.551,512,0.000137,0.2000
3753.237,512,0.000126,0.2000
3763.893,512,0.000118,0.2000
3774.578,512,0.000134,0.2000
3785.237,512,0.000137,0.2000
3795.885,512,0.000124,0.2000
3806.568,512,0.000130,0.2000
3817.210,512,0.000117,0.2000
3827.912,512,0.000124,0.2000
3838.560,512,0.000136,0.2000
3849.238,512,0.000120,0.2000
3859.919,512,0.000134,0.2000
3870.565,512,0.000138,0.2000
3881.229,512,0.000131,0.2000
3891.886,512,0.000121,0.2000
3902.560,512,0.000118,0.2000
3913.253,512,0.000116,0.2000
3923.908,512,0.000112,0.2000
3934.589,512,0.000106,0.2000
3945.259,512,0.000129,0.2000
3955.891,512,0.000105,0.2000
3966.532,512,0.000108,0.2000
3977.211,512,0.000115,0.2000
3987.938,512,0.000105,0.2000
3998.523,512,0.000119,0.2000
4009.216,512,0.000118,0.2000
4019.875,512,0.000117,0.2000
4030.536,512,0.000110,0.2000
4041.218,512,0.000105,0.2000
4051.878,512,0.000121,0.2000
4062.549,512,0.000098,0.2000
4073.199,512,0.000108,0.2000
4083.847,512,0.000108,0.2000
4094.533,512,0.000089,0.2000
4105.192,512,0.000101,0.2000
4115.862,512,0.000097,0.2000
4126.525,512,0.000106,0.2000
4137.192,512,0.000102,0.2000
4147.884,512,0.000102,0.2000
4158.530,512,0.000106,0.2000
4169.227,512,0.000100,0.2000
4179.875,512,0.000111,0.2000
4190.546,512,0.000107,0.2000
4201.221,512,0.000092,0.2000
4211.875,512,0.000097,0.2000
4222.562,512,0.000091,0.2000
4233.249,512,0.000088,0.2000
4243.926,512,0.000095,0.2000
4254.550,512,0.000082,0.2000
4265.224,512,0.000098,0.2000
4275.905,512,0.000083,0.2000
4286.585,512,0.000094,0.2000
4297.252,512,0.000086,0.2000
4307.883,512,0.000079,0.2000
4318.611,512,0.000085,0.2000
4329.223,512,0.000085,0.2000
4339.882,512,0.000083,0.2000
4350.522,512,0.000129,0.2000
4361.281,512,0.000093,0.2000
4371.894,512,0.000097,0.2000
4382.538,512,0.000112,0.2000
4393.220,512,0.000086,0.2000
4403.850,512,0.000083,0.2000
4414.539,512,0.000084,0.2000
4425.199,512,0.000075,0.2000
4435.859,512,0.000074,0.2000
4446.540,512,0.000062,0.2000
4457.193,512,0.000052,0.2000
4467.854,512,0.000051,0.2000
4478.550,512,0.000055,0.2000
4489.213,512,0.000056,0.2000
4499.875,512,0.000062,0.2000
4510.533,512,0.000061,0.2000
4521.201,512,0.000059,0.2000
4531.883,512,0.000059,0.2000
4542.586,512,0.000061,0.2000
4553.206,512,0.000056,0.2000
4563.903,512,0.000057,0.2000
4574.581,512,0.000056,0.2000
4585.245,512,0.000054,0.2000
4595.873,512,0.000052,0.2000
4606.545,512,0.000045,0.2000
4617.207,512,0.000053,0.2000
4627.919,512,0.000049,0.2000
4638.547,512,0.000055,0.2000
4649.221,512,0.000045,0.2000
4659.898,512,0.000048,0.2000
4670.577,512,0.000047,0.2000
4681.203,512,0.000044,0.2000
4691.878,512,0.000044,0.2000
4702.568,512,0.000059,0.2000
4713.244,512,0.000053,0.2000
4723.886,512,0.000057,0.2000
4734.561,512,0.000060,0.2000
4745.227,512,0.000080,0.2000
4755.871,512,0.000072,0.2000
4766.560,512,0.000069,0.2000
4777.222,512,0.000074,0.2000
4787.882,512,0.000069,0.2000
4798.557,512,0.000063,0.2000
4809.215,512,0.000047,0.2000
4819.863,512,0.000058,0.2000
4830.533,512,0.000064,0.2000
4841.241,512,0.000055,0.2000
4851.897,512,0.000042,0.2000
4862.553,512,0.000044,0.2000
