t_ms,frames,rms_in,gain
2164.789,512,0.129534,0.2000
2175.449,512,0.129889,0.2000
2186.128,512,0.126664,0.2000
2196.761,512,0.139294,0.2000
2207.437,512,0.139647,0.2000
2218.110,512,0.131022,0.2000
2228.759,512,0.129931,0.2000
2239.417,512,0.116270,0.2000
2250.101,512,0.143407,0.2000
2260.773,512,0.135545,0.2000
2271.431,512,0.128318,0.2000
2282.132,512,0.125626,0.2000
2292.771,512,0.112667,0.2000
2303.435,512,0.126415,0.2000
2314.124,512,0.129192,0.2000
2324.768,512,0.125350,0.2000
2335.432,512,0.142287,0.2000
2346.087,512,0.115547,0.2000
2356.775,512,0.132340,0.2000
2367.448,512,0.123940,0.2000
2378.102,512,0.133860,0.2000
2388.756,512,0.148280,0.2000
2399.417,512,0.118147,0.2000
2410.080,512,0.125069,0.2000
2420.745,512,0.120578,0.2000
2431.426,512,0.133601,0.2000
2442.100,512,0.112766,0.2000
2452.746,512,0.132746,0.2000
2463.414,512,0.118309,0.2000
2474.124,512,0.109255,0.2000
2484.750,512,0.123239,0.2000
2495.452,512,0.106343,0.2000
2506.146,512,0.134237,0.2000
2516.797,512,0.142504,0.2000
2527.439,512,0.422127,0.2000
2538.121,512,0.553614,0.2000
2548.795,512,0.568413,0.2000
2559.414,512,0.519831,0.2000
2570.128,512,0.522103,0.2000
2580.764,512,0.369068,0.2000
2591.456,512,0.274658,0.2000
2602.100,512,0.217702,0.2000
2612.807,512,0.142296,0.2000
2623.409,512,0.130493,0.2000
2634.119,512,0.142602,0.2000
2644.769,512,0.155899,0.2000
2655.407,512,0.150815,0.2000
2666.105,512,0.138271,0.2000
2676.797,512,0.120868,0.2000
2687.426,512,0.137990,0.2000
2698.132,512,0.144166,0.2000
2708.784,512,0.135969,0.2000
2719.407,512,0.122952,0.2000
2730.104,512,0.115695,0.2000
2740.778,512,0.130027,0.2000
2751.411,512,0.142261,0.2000
2762.083,512,0.184050,0.2000
2772.745,512,0.161827,0.2000
2783.427,512,0.165701,0.2000
2794.076,512,0.154939,0.2000
2804.752,512,0.156118,0.2000
2815.432,512,0.142054,0.2000
2826.110,512,0.154643,0.2000
2836.765,512,0.125635,0.2000
2847.445,512,0.150590,0.2000
2858.089,512,0.128832,0.2000
2868.752,512,0.159721,0.2000
