t_ms,frames,rms_in,gain
2164.078,512,0.081708,1.0000
2174.705,512,0.069744,1.0000
2185.384,512,0.057338,1.0000
2196.079,512,0.030404,1.0000
2206.729,512,0.022485,1.0000
2217.376,512,0.010537,1.0000
2228.132,512,0.022993,1.0000
2238.788,512,0.017405,1.0000
2249.396,512,0.021399,1.0000
2260.090,512,0.017867,1.0000
2270.718,512,0.023831,1.0000
2281.514,512,0.032139,1.0000
2292.094,512,0.016704,1.0000
2302.727,512,0.020549,1.0000
2313.435,512,0.034244,1.0000
2324.060,512,0.081199,1.0000
2334.725,512,0.097709,1.0000
2345.392,512,0.109645,1.0000
2356.070,512,0.119755,1.0000
2366.712,512,0.107690,1.0000
2377.445,512,0.104933,1.0000
2388.091,512,0.101557,1.0000
2398.713,512,0.109142,1.0000
2409.382,512,0.110892,1.0000
2420.056,512,0.102212,1.0000
2430.785,512,0.096520,1.0000
2441.390,512,0.098663,1.0000
2452.053,512,0.096886,1.0000
2462.797,512,0.096262,1.0000
2473.398,512,0.099577,1.0000
2484.048,512,0.087008,1.0000
2494.717,512,0.086296,1.0000
2505.409,512,0.078873,1.0000
2516.052,512,0.085814,1.0000
2526.726,512,0.078844,1.0000
2537.398,512,0.084192,1.0000
2548.092,512,0.087664,1.0000
2558.726,512,0.085622,1.0000
2569.392,512,0.081673,1.0000
2580.081,512,0.086088,1.0000
2590.679,512,0.077955,1.0000
2601.371,512,0.077797,1.0000
2612.067,512,0.064589,1.0000
2622.732,512,0.056026,1.0000
2633.393,512,0.052483,1.0000
2644.082,512,0.055315,1.0000
2654.740,512,0.035095,1.0000
2665.465,512,0.040878,1.0000
2676.079,512,0.036521,1.0000
2686.747,512,0.016818,1.0000
2697.432,512,0.018348,1.0000
2708.118,512,0.036838,1.0000
2718.737,512,0.016515,1.0000
2729.449,512,0.013943,1.0000
2740.068,512,0.022621,1.0000
2750.752,512,0.027290,1.0000
2761.413,512,0.026818,1.0000
2772.203,512,0.029676,1.0000
2782.738,512,0.024823,1.0000
2793.396,512,0.021746,1.0000
2804.064,512,0.017254,1.0000
2814.728,512,0.025233,1.0000
2825.382,512,0.023581,1.0000
2836.061,512,0.025538,1.0000
2846.719,512,0.024019,1.0000
2857.390,512,0.024601,1.0000
2868.074,512,0.026857,1.0000
2878.707,512,0.024113,1.0000
2889.398,512,0.026920,1.0000
2900.052,512,0.023488,1.0000
2910.727,512,0.021181,1.0000
2921.427,512,0.020815,1.0000
2932.030,512,0.019781,1.0000
2942.736,512,0.019582,1.0000
2953.401,512,0.018539,1.0000
2964.071,512,0.021581,1.0000
2974.742,512,0.016953,1.0000
2985.403,512,0.078706,1.0000
2996.083,512,0.104689,1.0000
3006.754,512,0.115462,1.0000
3017.416,512,0.120069,1.0000
3028.076,512,0.096876,1.0000
3038.713,512,0.047588,1.0000
3049.400,512,0.038093,1.0000
3060.068,512,0.031281,1.0000
3070.715,512,0.023355,1.0000
3081.395,512,0.054983,1.0000
3092.074,512,0.081406,1.0000
3102.714,512,0.064996,1.0000
3113.390,512,0.052090,1.0000
3124.130,512,0.021651,1.0000
3134.712,512,0.012062,1.0000
3145.384,512,0.013795,1.0000
3156.034,512,0.010275,1.0000
3166.726,512,0.012276,1.0000
3177.375,512,0.009044,1.0000
3188.071,512,0.012639,1.0000
3198.786,512,0.015339,1.0000
3209.394,512,0.080808,1.0000
3220.056,512,0.100526,1.0000
3230.718,512,0.107589,1.0000
3241.413,512,0.098519,1.0000
3252.088,512,0.090490,1.0000
3262.748,512,0.080510,1.0000
3273.389,512,0.051193,1.0000
3284.064,512,0.042991,1.0000
3294.716,512,0.025174,1.0000
3305.396,512,0.024666,1.0000
3316.087,512,0.034088,1.0000
3326.731,512,0.024363,1.0000
3337.380,512,0.041784,1.0000
3348.079,512,0.061564,1.0000
3358.738,512,0.074149,1.0000
3369.384,512,0.059157,1.0000
3380.086,512,0.038235,1.0000
3390.675,512,0.016432,1.0000
3401.369,512,0.028341,1.0000
3412.085,512,0.024995,1.0000
3422.757,512,0.028789,1.0000
3433.383,512,0.027038,1.0000
3444.088,512,0.024466,1.0000
3454.705,512,0.021991,1.0000
3465.441,512,0.021473,1.0000
3476.057,512,0.021600,1.0000
3486.722,512,0.095347,1.0000
3497.400,512,0.094483,1.0000
3508.103,512,0.093580,1.0000
3518.733,512,0.091573,1.0000
3529.397,512,0.074611,1.0000
3540.029,512,0.062447,1.0000
3550.782,512,0.056753,1.0000
3561.479,512,0.040691,1.0000
3572.067,512,0.038814,1.0000
3582.723,512,0.044374,1.0000
3593.420,512,0.036275,1.0000
3604.065,512,0.045457,1.0000
3614.719,512,0.036917,1.0000
3625.365,512,0.039911,1.0000
3636.106,512,0.041077,1.0000
3646.743,512,0.037275,1.0000
3657.346,512,0.048603,1.0000
3668.094,512,0.036925,1.0000
3678.766,512,0.047797,1.0000
3689.358,512,0.036744,1.0000
3700.049,512,0.042049,1.0000
3710.676,512,0.039279,1.0000
3721.412,512,0.037661,1.0000
3732.085,512,0.039602,1.0000
3742.723,512,0.033907,1.0000
3753.369,512,0.036000,1.0000
3764.035,512,0.030884,1.0000
3774.709,512,0.032263,1.0000
3785.367,512,0.027595,1.0000
3796.014,512,0.035595,1.0000
3806.692,512,0.028896,1.0000
3817.371,512,0.023671,1.0000
3828.026,512,0.024602,1.0000
3838.702,512,0.015262,1.0000
3849.354,512,0.015151,1.0000
3860.016,512,0.017247,1.0000
3870.691,512,0.014577,1.0000
3881.356,512,0.018001,1.0000
3892.019,512,0.016940,1.0000
3902.690,512,0.024493,1.0000
3913.370,512,0.019285,1.0000
3924.034,512,0.031222,1.0000
3934.692,512,0.019619,1.0000
3945.383,512,0.030773,1.0000
3956.082,512,0.019979,1.0000
3966.696,512,0.021314,1.0000
3977.379,512,0.026055,1.0000
3988.055,512,0.019107,1.0000
3998.684,512,0.021549,1.0000
4009.371,512,0.017331,1.0000
4020.103,512,0.038401,1.0000
4030.719,512,0.024339,1.0000
4041.373,512,0.023242,1.0000
4052.049,512,0.034598,1.0000
4062.788,512,0.028378,1.0000
4073.368,512,0.023770,1.0000
4084.030,512,0.020356,1.0000
4094.709,512,0.017480,1.0000
4105.443,512,0.021498,1.0000
4116.059,512,0.019929,1.0000
4126.748,512,0.021356,1.0000
4137.385,512,0.018906,1.0000
4148.042,512,0.018702,1.0000
4158.686,512,0.019785,1.0000
4169.391,512,0.086462,1.0000
4180.030,512,0.054443,1.0000
4190.692,512,0.083328,1.0000
4201.384,512,0.082300,1.0000
4212.018,512,0.068358,1.0000
4222.682,512,0.042312,1.0000
4233.346,512,0.059395,1.0000
4244.024,512,0.065277,1.0000
4254.707,512,0.089456,1.0000
4265.347,512,0.086761,1.0000
4276.046,512,0.089598,1.0000
4286.685,512,0.072788,1.0000
4297.383,512,0.069212,1.0000
4308.020,512,0.052599,1.0000
4318.674,512,0.049427,1.0000
4329.367,512,0.052640,1.0000
4340.018,512,0.058152,1.0000
4350.750,512,0.066647,1.0000
4361.417,512,0.098401,1.0000
4372.032,512,0.095732,1.0000
4382.699,512,0.104796,1.0000
4393.359,512,0.107866,1.0000
4404.015,512,0.113954,1.0000
4414.715,512,0.108116,1.0000
4425.360,512,0.103992,1.0000
4436.071,512,0.093445,1.0000
4446.756,512,0.097212,1.0000
4457.425,512,0.097532,1.0000
4468.010,512,0.105035,1.0000
4478.689,512,0.106598,1.0000
4489.432,512,0.102234,1.0000
4500.052,512,0.099053,1.0000
4510.686,512,0.096547,1.0000
4521.413,512,0.090212,1.0000
4532.035,512,0.093261,1.0000
4542.685,512,0.080166,1.0000
4553.327,512,0.061935,1.0000
4564.105,512,0.050529,1.0000
4574.706,512,0.049518,1.0000
4585.427,512,0.050224,1.0000
4596.105,512,0.046914,1.0000
4606.670,512,0.051592,1.0000
4617.352,512,0.041672,1.0000
4628.125,512,0.051963,1.0000
4638.742,512,0.058174,1.0000
4649.385,512,0.059496,1.0000
4660.064,512,0.070092,1.0000
4670.710,512,0.056970,1.0000
4681.365,512,0.058812,1.0000
4692.024,512,0.047101,1.0000
4702.695,512,0.037036,1.0000
4713.355,512,0.026269,1.0000
4723.983,512,0.013402,1.0000
4734.632,512,0.011767,1.0000
4745.353,512,0.009882,1.0000
4756.025,512,0.011317,1.0000
4766.728,512,0.010991,1.0000
4777.358,512,0.013281,1.0000
4788.035,512,0.010922,1.0000
4798.665,512,0.011770,1.0000
4809.328,512,0.024071,1.0000
4820.009,512,0.070060,1.0000
4830.668,512,0.053267,1.0000
4841.372,512,0.041523,1.0000
4852.015,512,0.050755,1.0000
4862.671,512,0.027582,1.0000
4873.361,512,0.035666,1.0000
4884.015,512,0.013106,1.0000
4894.675,512,0.025409,1.0000
4905.365,512,0.035093,1.0000
4916.012,512,0.033582,1.0000
4926.689,512,0.032426,1.0000
4937.354,512,0.023969,1.0000
4948.012,512,0.025451,1.0000
4958.673,512,0.035792,1.0000
4969.345,512,0.017568,1.0000
4980.066,512,0.063719,1.0000
4990.676,512,0.017138,1.0000
5001.359,512,0.042670,1.0000
5012.018,512,0.025112,1.0000
5022.655,512,0.040114,1.0000
5033.340,512,0.026894,1.0000
5044.002,512,0.014152,1.0000
5054.673,512,0.035641,1.0000
5065.316,512,0.029783,1.0000
5076.015,512,0.018545,1.0000
5086.696,512,0.024468,1.0000
5097.431,512,0.023444,1.0000
5108.016,512,0.027533,1.0000
5118.686,512,0.030910,1.0000
5129.354,512,0.029806,1.0000
5140.023,512,0.030757,1.0000
5150.681,512,0.027581,1.0000
5161.342,512,0.029830,1.0000
5172.015,512,0.028097,1.0000
5182.691,512,0.025243,1.0000
5193.344,512,0.024327,1.0000
5204.022,512,0.021894,1.0000
5214.679,512,0.021087,1.0000
5225.392,512,0.017298,1.0000
5236.036,512,0.016073,1.0000
5246.686,512,0.013312,1.0000
5257.339,512,0.012758,1.0000
5268.039,512,0.010322,1.0000
5278.707,512,0.010630,1.0000
5289.352,512,0.009132,1.0000
5299.997,512,0.008063,1.0000
5310.720,512,0.006599,1.0000
5321.346,512,0.007424,1.0000
5331.996,512,0.005935,1.0000
5342.682,512,0.009261,1.0000
5353.360,512,0.007855,1.0000
5364.056,512,0.006432,1.0000
5374.679,512,0.007246,1.0000
5385.350,512,0.008055,1.0000
5395.997,512,0.007786,1.0000
5406.666,512,0.008066,1.0000
5417.339,512,0.008598,1.0000
5428.010,512,0.008981,1.0000
5438.676,512,0.009622,1.0000
5449.335,512,0.009476,1.0000
5460.018,512,0.009983,1.0000
5470.690,512,0.009841,1.0000
5481.337,512,0.015510,1.0000
5492.000,512,0.016313,1.0000
5502.662,512,0.016260,1.0000
5513.338,512,0.014644,1.0000
5524.008,512,0.014074,1.0000
5534.682,512,0.012097,1.0000
5545.338,512,0.011093,1.0000
5555.996,512,0.013674,1.0000
5566.696,512,0.011565,1.0000
5577.327,512,0.011989,1.0000
5588.013,512,0.011288,1.0000
5598.663,512,0.011017,1.0000
5609.333,512,0.010373,1.0000
5620.009,512,0.010583,1.0000
5630.658,512,0.009903,1.0000
5641.367,512,0.011226,1.0000
5651.994,512,0.009504,1.0000
5662.652,512,0.010774,1.0000
5673.351,512,0.009630,1.0000
5683.999,512,0.010083,1.0000
5694.647,512,0.007368,1.0000
5705.348,512,0.032514,1.0000
5716.002,512,0.024135,1.0000
5726.651,512,0.024140,1.0000
5737.317,512,0.022222,1.0000
5747.987,512,0.027970,1.0000
5758.689,512,0.027445,1.0000
5769.323,512,0.027126,1.0000
5780.001,512,0.025075,1.0000
5790.663,512,0.023645,1.0000
5801.324,512,0.019508,1.0000
5812.008,512,0.022601,1.0000
5822.655,512,0.021789,1.0000
5833.310,512,0.024717,1.0000
5844.040,512,0.020657,1.0000
5854.654,512,0.023403,1.0000
5865.311,512,0.020268,1.0000
5875.996,512,0.021150,1.0000
5886.681,512,0.020006,1.0000
5897.302,512,0.021846,1.0000
5907.996,512,0.020176,1.0000
5918.644,512,0.019564,1.0000
5929.318,512,0.019572,1.0000
5939.974,512,0.020515,1.0000
5950.660,512,0.019980,1.0000
5961.315,512,0.018078,1.0000
5971.970,512,0.018220,1.0000
5982.657,512,0.018439,1.0000
5993.311,512,0.018870,1.0000
6003.977,512,0.017691,1.0000
6014.644,512,0.017401,1.0000
6025.311,512,0.017485,1.0000
6035.991,512,0.016615,1.0000
6046.662,512,0.014385,1.0000
6057.317,512,0.016257,1.0000
6067.979,512,0.013048,1.0000
6078.658,512,0.014941,1.0000
6089.306,512,0.012438,1.0000
6100.049,512,0.015619,1.0000
6110.655,512,0.014339,1.0000
6121.321,512,0.019373,1.0000
6131.978,512,0.016436,1.0000
6142.671,512,0.021541,1.0000
6153.391,512,0.020629,1.0000
6163.972,512,0.021006,1.0000
6174.660,512,0.019718,1.0000
6185.353,512,0.017783,1.0000
6195.988,512,0.018175,1.0000
6206.667,512,0.015866,1.0000
6217.315,512,0.013241,1.0000
6227.969,512,0.014264,1.0000
6238.638,512,0.012912,1.0000
6249.306,512,0.016505,1.0000
6260.092,512,0.014593,1.0000
6270.662,512,0.015898,1.0000
6281.308,512,0.013611,1.0000
6291.977,512,0.016055,1.0000
6302.636,512,0.013968,1.0000
6313.341,512,0.017023,1.0000
6324.055,512,0.014991,1.0000
6334.722,512,0.017328,1.0000
6345.330,512,0.018970,1.0000
6355.966,512,0.020315,1.0000
6366.639,512,0.018530,1.0000
6377.325,512,0.018132,1.0000
6388.058,512,0.016758,1.0000
6398.698,512,0.014171,1.0000
6409.310,512,0.015870,1.0000
6420.008,512,0.016602,1.0000
6430.648,512,0.015141,1.0000
6441.298,512,0.014273,1.0000
6451.980,512,0.012836,1.0000
6462.724,512,0.015277,1.0000
6473.296,512,0.013381,1.0000
6483.985,512,0.013500,1.0000
6494.650,512,0.010831,1.0000
6505.294,512,0.011558,1.0000
6515.970,512,0.010404,1.0000
6526.711,512,0.010872,1.0000
6537.335,512,0.009150,1.0000
6547.982,512,0.018871,1.0000
6558.654,512,0.021893,1.0000
6569.294,512,0.018705,1.0000
6579.976,512,0.018466,1.0000
6590.637,512,0.018855,1.0000
6601.344,512,0.017483,1.0000
6611.987,512,0.018676,1.0000
6622.648,512,0.017190,1.0000
6633.307,512,0.015655,1.0000
6643.972,512,0.015293,1.0000
6654.759,512,0.016362,1.0000
6665.426,512,0.013901,1.0000
