t_ms,frames,rms_in,gain
2208.969,512,0.122967,1.0000
2219.612,512,0.104410,1.0000
2230.267,512,0.111278,1.0000
2240.988,512,0.107246,1.0000
2251.592,512,0.125566,1.0000
2262.284,512,0.107711,1.0000
2272.925,512,0.121988,1.0000
2283.614,512,0.103542,1.0000
2294.284,512,0.100639,1.0000
2304.958,512,0.115065,1.0000
2315.595,512,0.099721,1.0000
2326.278,512,0.121455,1.0000
2336.939,512,0.099232,1.0000
2347.591,512,0.099619,1.0000
2358.273,512,0.099588,1.0000
2368.936,512,0.103890,1.0000
2379.630,512,0.106429,1.0000
2390.275,512,0.106570,1.0000
2400.947,512,0.105255,1.0000
2411.592,512,0.092798,1.0000
2422.276,512,0.101732,1.0000
2432.928,512,0.096680,1.0000
2443.581,512,0.107590,1.0000
2454.253,512,0.105775,1.0000
2464.950,512,0.096181,1.0000
2475.600,512,0.094701,1.0000
2486.230,512,0.093630,1.0000
2496.940,512,0.099349,1.0000
2507.586,512,0.109694,1.0000
2518.282,512,0.094282,1.0000
2528.939,512,0.099522,1.0000
2539.623,512,0.089566,1.0000
2550.351,512,0.096738,1.0000
2560.950,512,0.100772,1.0000
2571.601,512,0.094931,1.0000
2582.295,512,0.101912,1.0000
2592.904,512,0.090515,1.0000
2603.605,512,0.090198,1.0000
2614.246,512,0.094245,1.0000
2624.932,512,0.102436,1.0000
2635.609,512,0.098622,1.0000
2646.253,512,0.094414,1.0000
2656.967,512,0.089384,1.0000
2667.620,512,0.089923,1.0000
2678.309,512,0.101745,1.0000
2688.960,512,0.096939,1.0000
2699.610,512,0.100697,1.0000
2710.244,512,0.096610,1.0000
2720.917,512,0.090823,1.0000
2731.629,512,0.095613,1.0000
2742.265,512,0.096460,1.0000
2753.003,512,0.101822,1.0000
2763.598,512,0.101077,1.0000
2774.283,512,0.093016,1.0000
2784.934,512,0.092308,1.0000
2795.588,512,0.089090,1.0000
2806.267,512,0.100114,1.0000
2816.962,512,0.094106,1.0000
2827.611,512,0.095394,1.0000
2838.334,512,0.088166,1.0000
2848.944,512,0.086661,1.0000
2859.599,512,0.093120,1.0000
2870.274,512,0.090122,1.0000
2880.945,512,0.101194,1.0000
2891.616,512,0.088516,1.0000
2902.258,512,0.087494,1.0000
2912.926,512,0.085437,1.0000
2923.647,512,0.088714,1.0000
2934.295,512,0.099439,1.0000
2945.012,512,0.087862,1.0000
2955.672,512,0.095273,1.0000
2966.281,512,0.082960,1.0000
2976.926,512,0.087167,1.0000
2987.611,512,0.094970,1.0000
2998.274,512,0.088488,1.0000
3008.935,512,0.094542,1.0000
3019.579,512,0.085638,1.0000
3030.302,512,0.089490,1.0000
3040.942,512,0.088384,1.0000
3051.578,512,0.092852,1.0000
3062.233,512,0.100699,1.0000
3072.922,512,0.081835,1.0000
3083.571,512,0.095125,1.0000
3094.261,512,0.085091,1.0000
3104.902,512,0.088716,1.0000
3115.569,512,0.097268,1.0000
3126.250,512,0.083532,1.0000
3136.918,512,0.090519,1.0000
3147.591,512,0.116226,1.0000
3158.260,512,0.123014,1.0000
3168.969,512,0.152208,1.0000
3179.601,512,0.157241,1.0000
3190.256,512,0.151676,1.0000
3200.925,512,0.139612,1.0000
3211.560,512,0.130178,1.0000
3222.252,512,0.137743,1.0000
3232.919,512,0.132580,1.0000
3243.571,512,0.133729,1.0000
3254.240,512,0.123391,1.0000
3264.920,512,0.130922,1.0000
3275.544,512,0.129582,1.0000
3286.220,512,0.133453,1.0000
3296.912,512,0.111913,1.0000
3307.563,512,0.139126,1.0000
3318.253,512,0.112286,1.0000
3328.953,512,0.128025,1.0000
3339.598,512,0.118758,1.0000
3350.253,512,0.121843,1.0000
3360.930,512,0.125437,1.0000
3371.584,512,0.111919,1.0000
3382.233,512,0.117909,1.0000
3392.922,512,0.095829,1.0000
3403.610,512,0.101009,1.0000
3414.250,512,0.096529,1.0000
3424.947,512,0.092360,1.0000
3435.591,512,0.084922,1.0000
3446.231,512,0.095726,1.0000
3456.911,512,0.092664,1.0000
3467.624,512,0.085019,1.0000
3478.217,512,0.090691,1.0000
3488.930,512,0.091912,1.0000
3499.559,512,0.085297,1.0000
3510.216,512,0.079539,1.0000
3520.914,512,0.076365,1.0000
3531.561,512,0.070385,1.0000
3542.227,512,0.141114,1.0000
3552.927,512,0.150762,1.0000
3563.599,512,0.178739,1.0000
3574.263,512,0.194849,1.0000
3584.971,512,0.195180,1.0000
3595.563,512,0.186230,1.0000
3606.313,512,0.199465,1.0000
3616.923,512,0.166222,1.0000
3627.560,512,0.184702,1.0000
3638.314,512,0.140231,1.0000
3648.903,512,0.172845,1.0000
3659.588,512,0.122427,1.0000
3670.293,512,0.180229,1.0000
3680.905,512,0.126666,1.0000
3691.592,512,0.184561,1.0000
3702.243,512,0.132422,1.0000
3712.929,512,0.188260,1.0000
3723.588,512,0.128467,1.0000
3734.250,512,0.176667,1.0000
3744.937,512,0.110903,1.0000
3755.596,512,0.189410,1.0000
3766.230,512,0.089535,1.0000
3776.924,512,0.187198,1.0000
3787.582,512,0.090069,1.0000
3798.221,512,0.174268,1.0000
3808.920,512,0.106586,1.0000
3819.635,512,0.155523,1.0000
3830.245,512,0.109928,1.0000
3840.892,512,0.154382,1.0000
3851.606,512,0.135407,1.0000
3862.236,512,0.126543,1.0000
3872.948,512,0.133370,1.0000
3883.570,512,0.127496,1.0000
3894.236,512,0.127078,1.0000
3904.913,512,0.139380,1.0000
3915.576,512,0.105758,1.0000
3926.243,512,0.137561,1.0000
3936.896,512,0.110276,1.0000
3947.570,512,0.122720,1.0000
3958.237,512,0.105990,1.0000
3968.901,512,0.120909,1.0000
3979.554,512,0.093432,1.0000
3990.269,512,0.126758,1.0000
4000.856,512,0.089954,1.0000
4011.565,512,0.123151,1.0000
4022.234,512,0.078319,1.0000
4032.895,512,0.115429,1.0000
4043.605,512,0.080351,1.0000
4054.226,512,0.114563,1.0000
4064.892,512,0.092521,1.0000
4075.574,512,0.105900,1.0000
4086.223,512,0.094318,1.0000
4096.895,512,0.100055,1.0000
4107.551,512,0.093662,1.0000
4118.256,512,0.106875,1.0000
4128.884,512,0.092484,1.0000
4139.593,512,0.108069,1.0000
4150.222,512,0.091072,1.0000
4160.923,512,0.102045,1.0000
