t_ms,frames,rms_in,gain
1926.029,512,0.009472,0.2000
1936.685,512,0.010120,0.2000
1947.356,512,0.009570,0.2000
1958.028,512,0.007279,0.2000
1968.704,512,0.008637,0.2000
1979.355,512,0.015233,0.2000
1990.065,512,0.012497,0.2000
2000.697,512,0.013376,0.2000
2011.374,512,0.024269,0.2000
2022.048,512,0.022060,0.2000
2032.848,512,0.017085,0.2000
2043.388,512,0.021003,0.2000
2054.064,512,0.024462,0.2000
2064.768,512,0.027558,0.2000
2075.474,512,0.030377,0.2000
2086.060,512,0.027502,0.2000
2096.741,512,0.027599,0.2000
2107.412,512,0.022226,0.2000
2118.093,512,0.020291,0.2000
2128.739,512,0.022167,0.2000
2139.509,512,0.024124,0.2000
2150.132,512,0.026260,0.2000
2160.787,512,0.025969,0.2000
2171.402,512,0.024453,0.2000
2182.018,512,0.019540,0.2000
2192.805,512,0.012636,0.2000
2203.437,512,0.011156,0.2000
2214.138,512,0.010540,0.2000
2224.744,512,0.014692,0.2000
2235.466,512,0.019205,0.2000
2246.106,512,0.017356,0.2000
2256.751,512,0.018933,0.2000
2267.427,512,0.017262,0.2000
2278.151,512,0.010391,0.2000
2288.738,512,0.012050,0.2000
2299.409,512,0.009047,0.2000
2310.095,512,0.011824,0.2000
2320.698,512,0.014809,0.2000
2331.476,512,0.014008,0.2000
2342.090,512,0.014945,0.2000
2352.763,512,0.014139,0.2000
2363.400,512,0.010603,0.2000
2374.056,512,0.009639,0.2000
2384.788,512,0.010371,0.2000
2395.449,512,0.008622,0.2000
2406.069,512,0.010734,0.2000
2416.820,512,0.009581,0.2000
2427.505,512,0.011911,0.2000
2438.099,512,0.010782,0.2000
2448.726,512,0.010003,0.2000
2459.431,512,0.011410,0.2000
2470.101,512,0.010844,0.2000
2480.732,512,0.008876,0.2000
2491.383,512,0.009790,0.2000
2502.106,512,0.008196,0.2000
2512.747,512,0.010839,0.2000
2523.431,512,0.009646,0.2000
2534.091,512,0.008445,0.2000
2544.773,512,0.009756,0.2000
2555.414,512,0.009592,0.2000
2566.139,512,0.007589,0.2000
2576.722,512,0.009426,0.2000
2587.383,512,0.008057,0.2000
2598.078,512,0.008761,0.2000
2608.743,512,0.008010,0.2000
2619.409,512,0.007310,0.2000
2630.139,512,0.008955,0.2000
2640.751,512,0.008488,0.2000
2651.442,512,0.013099,0.2000
2662.113,512,0.015149,0.2000
2672.762,512,0.013825,0.2000
2683.397,512,0.013972,0.2000
2694.093,512,0.012865,0.2000
2704.714,512,0.010957,0.2000
2715.373,512,0.009785,0.2000
2726.128,512,0.009014,0.2000
2736.784,512,0.007758,0.2000
2747.490,512,0.008192,0.2000
2758.108,512,0.008171,0.2000
2768.791,512,0.007262,0.2000
2779.484,512,0.007128,0.2000
2790.087,512,0.006670,0.2000
2800.802,512,0.007211,0.2000
2811.501,512,0.006043,0.2000
2822.083,512,0.005388,0.2000
2832.762,512,0.006427,0.2000
2843.413,512,0.006175,0.2000
2854.086,512,0.005362,0.2000
2864.801,512,0.005890,0.2000
2875.380,512,0.007235,0.2000
2886.057,512,0.008082,0.2000
2896.704,512,0.008074,0.2000
2907.369,512,0.006524,0.2000
2918.044,512,0.006612,0.2000
2928.700,512,0.005704,0.2000
2939.370,512,0.004984,0.2000
2950.048,512,0.005330,0.2000
2960.691,512,0.005375,0.2000
2971.359,512,0.004744,0.2000
2982.043,512,0.003759,0.2000
2992.697,512,0.003426,0.2000
3003.358,512,0.003222,0.2000
3014.030,512,0.002393,0.2000
3024.696,512,0.001922,0.2000
3035.361,512,0.001656,0.2000
3046.028,512,0.001360,0.2000
3056.699,512,0.000966,0.2000
3067.368,512,0.000963,0.2000
3078.042,512,0.015083,0.2000
3088.701,512,0.028172,0.2000
3099.384,512,0.014903,0.2000
3110.037,512,0.016974,0.2000
3120.691,512,0.024750,0.2000
3131.351,512,0.027038,0.2000
3142.039,512,0.025793,0.2000
3152.707,512,0.028536,0.2000
3163.371,512,0.025088,0.2000
3174.080,512,0.023583,0.2000
3184.728,512,0.018213,0.2000
3195.432,512,0.018739,0.2000
3206.036,512,0.016620,0.2000
3216.724,512,0.016833,0.2000
3227.394,512,0.014062,0.2000
3238.038,512,0.014651,0.2000
3248.712,512,0.011669,0.2000
3259.387,512,0.013090,0.2000
3270.117,512,0.010051,0.2000
3280.706,512,0.012040,0.2000
3291.364,512,0.009008,0.2000
3302.043,512,0.011613,0.2000
3312.710,512,0.008979,0.2000
3323.370,512,0.011326,0.2000
3334.033,512,0.008772,0.2000
3344.707,512,0.011479,0.2000
3355.365,512,0.009180,0.2000
3366.035,512,0.011459,0.2000
3376.733,512,0.010251,0.2000
3387.371,512,0.011675,0.2000
3398.093,512,0.010838,0.2000
3408.741,512,0.011617,0.2000
3419.389,512,0.011082,0.2000
3430.066,512,0.011506,0.2000
3440.743,512,0.010524,0.2000
3451.390,512,0.011115,0.2000
3462.050,512,0.010855,0.2000
3472.728,512,0.012448,0.2000
3483.415,512,0.013489,0.2000
3494.040,512,0.014207,0.2000
3504.762,512,0.014970,0.2000
3515.387,512,0.017558,0.2000
3526.051,512,0.018342,0.2000
3536.724,512,0.017759,0.2000
3547.388,512,0.015820,0.2000
3558.080,512,0.014047,0.2000
3568.752,512,0.013811,0.2000
3579.427,512,0.013957,0.2000
3590.062,512,0.012521,0.2000
3600.745,512,0.012053,0.2000
3611.419,512,0.013902,0.2000
3622.044,512,0.011687,0.2000
3632.804,512,0.012309,0.2000
3643.433,512,0.011678,0.2000
3654.064,512,0.010432,0.2000
3664.726,512,0.012766,0.2000
3675.396,512,0.010260,0.2000
3686.035,512,0.010494,0.2000
3696.745,512,0.012313,0.2000
3707.397,512,0.012011,0.2000
3718.052,512,0.010107,0.2000
3728.713,512,0.028460,0.2000
3739.410,512,0.021701,0.2000
3750.068,512,0.016680,0.2000
3760.712,512,0.019669,0.2000
3771.428,512,0.022841,0.2000
3782.082,512,0.026744,0.2000
3792.741,512,0.029109,0.2000
3803.419,512,0.027944,0.2000
3814.094,512,0.025922,0.2000
3824.744,512,0.022515,0.2000
3835.439,512,0.019222,0.2000
3846.078,512,0.017771,0.2000
3856.749,512,0.016637,0.2000
3867.412,512,0.015239,0.2000
3878.094,512,0.013614,0.2000
3888.748,512,0.011756,0.2000
3899.389,512,0.010622,0.2000
3910.110,512,0.008729,0.2000
3920.742,512,0.008339,0.2000
3931.425,512,0.007050,0.2000
3942.084,512,0.009412,0.2000
3952.729,512,0.009779,0.2000
3963.441,512,0.011723,0.2000
3974.094,512,0.010933,0.2000
3984.779,512,0.011359,0.2000
3995.435,512,0.009827,0.2000
4006.105,512,0.010235,0.2000
4016.756,512,0.011198,0.2000
4027.403,512,0.010929,0.2000
4038.076,512,0.010312,0.2000
4048.761,512,0.011931,0.2000
4059.388,512,0.011366,0.2000
4070.081,512,0.011555,0.2000
4080.763,512,0.012356,0.2000
4091.402,512,0.011614,0.2000
4102.091,512,0.013259,0.2000
4112.774,512,0.010696,0.2000
4123.413,512,0.010679,0.2000
4134.107,512,0.010357,0.2000
4144.781,512,0.010538,0.2000
4155.440,512,0.010237,0.2000
4166.141,512,0.011585,0.2000
4176.804,512,0.011969,0.2000
4187.400,512,0.013140,0.2000
4198.064,512,0.010958,0.2000
4208.743,512,0.010895,0.2000
4219.427,512,0.010294,0.2000
4230.126,512,0.011744,0.2000
4240.750,512,0.009728,0.2000
4251.445,512,0.010595,0.2000
4262.128,512,0.008612,0.2000
4272.764,512,0.010339,0.2000
4283.403,512,0.007752,0.2000
4294.075,512,0.010348,0.2000
4304.776,512,0.007732,0.2000
4315.417,512,0.010020,0.2000
4326.092,512,0.007564,0.2000
4336.757,512,0.010586,0.2000
4347.406,512,0.008894,0.2000
4358.104,512,0.016328,0.3422
4368.764,512,0.015551,0.4845
4379.416,512,0.015171,0.6267
4390.111,512,0.015565,0.7689
4400.755,512,0.016247,0.9111
4411.420,512,0.014919,1.0000
4422.061,512,0.013723,1.0000
4432.772,512,0.010947,1.0000
4443.455,512,0.012435,1.0000
4454.068,512,0.010701,1.0000
4464.791,512,0.012386,1.0000
4475.426,512,0.011402,1.0000
4486.089,512,0.011446,1.0000
4496.773,512,0.011991,1.0000
4507.446,512,0.011977,1.0000
4518.094,512,0.011878,1.0000
